"Heterogeneity","Distribution","Log-time shift","LR Zhao","LR local (MCSE)","PP Zhao","PP local (MCSE)","GB Zhao","GB local (MCSE)"
"low","exponential",0.25,"0.212","0.3209 (0.0047) *","0.207","0.3172 (0.0047) *","0.181","0.2994 (0.0046) *"
"low","exponential",0.5,"0.601","0.8085 (0.0039) *","0.595","0.8111 (0.0039) *","0.532","0.7858 (0.0041) *"
"low","weibull",0.25,"0.460","0.7437 (0.0044) *","0.454","0.7326 (0.0044) *","0.391","0.7254 (0.0045) *"
"low","weibull",0.5,"0.948","0.9985 (0.0004) *","0.948","0.9990 (0.0003) *","0.910","0.9980 (0.0004) *"
"low","lognormal",0.25,"0.620","0.7083 (0.0045) *","0.645","0.7904 (0.0041) *","0.664","0.7836 (0.0041) *"
"low","lognormal",0.5,"0.989","0.9982 (0.0004) *","0.992","0.9996 (0.0002) *","0.995","0.9996 (0.0002) *"
"low","loglogistic",0.25,"0.325","Pending","0.334","Pending","0.334","Pending"
"low","loglogistic",0.5,"0.828","Pending","0.846","Pending","0.852","Pending"
"medium","exponential",0.25,"0.180","0.2384 (0.0043) *","0.180","0.2462 (0.0043) *","0.164","0.2438 (0.0043) *"
"medium","exponential",0.5,"0.519","0.6914 (0.0046) *","0.521","0.6996 (0.0046) *","0.482","0.6765 (0.0047) *"
"medium","weibull",0.25,"0.294","0.4871 (0.0050) *","0.287","0.4410 (0.0050) *","0.247","0.4140 (0.0049) *"
"medium","weibull",0.5,"0.786","0.9560 (0.0021) *","0.781","0.9365 (0.0024) *","0.718","0.9230 (0.0027) *"
"medium","lognormal",0.25,"0.361","0.4834 (0.0050) *","0.360","0.4557 (0.0050) *","0.330","0.4405 (0.0050) *"
"medium","lognormal",0.5,"0.869","0.9573 (0.0020) *","0.872","0.9537 (0.0021) *","0.834","0.9335 (0.0025) *"
"medium","loglogistic",0.25,"0.242","Pending","0.247","Pending","0.230","Pending"
"medium","loglogistic",0.5,"0.695","Pending","0.711","Pending","0.688","Pending"
"high","exponential",0.25,"0.169","0.2347 (0.0042) *","0.165","0.2114 (0.0041) *","0.149","0.2096 (0.0041) *"
"high","exponential",0.5,"0.478","0.6408 (0.0048) *","0.471","0.6316 (0.0048) *","0.422","0.5967 (0.0049) *"
"high","weibull",0.25,"0.255","0.4456 (0.0050) *","0.242","0.3630 (0.0048) *","0.193","0.3300 (0.0047) *"
"high","weibull",0.5,"0.710","0.9273 (0.0026) *","0.683","Pending","0.574","0.8399 (0.0037) *"
"high","lognormal",0.25,"0.310","0.4345 (0.0050) *","0.293","0.3825 (0.0049) *","0.251","0.3481 (0.0048) *"
"high","lognormal",0.5,"0.800","0.9223 (0.0027) *","0.781","0.8880 (0.0032) *","0.703","0.8541 (0.0035) *"
"high","loglogistic",0.25,"0.210","Pending","0.212","Pending","0.191","Pending"
"high","loglogistic",0.5,"0.614","Pending","0.617","Pending","0.569","Pending"
